2023-06-13 22:08:30 || 201.76.2.3 -> noctilucentis.com.br/80 || TCP - OPEN
2023-06-13 22:08:31 || 201.76.2.3 -> noctilucentis.com.br/2000 || TCP - CLOSE
2023-06-13 22:08:38 || 201.76.2.3 -> noctilucentis.com.br/4000 || TCP - CLOSE
2023-06-13 22:08:44 || 201.76.2.3 -> gersoncamillo.seg.br/2000 || UDP - CLOSE FILTERED
2023-06-13 22:08:50 || 201.76.2.3 -> gersoncamillo.seg.br/23456 || UDP - CLOSE FILTERED
2023-06-13 22:08:52 || 201.76.2.3 -> gersoncamillo.seg.br/34567 || UDP - OPEN || Resposta ACK.SOQUETINHO.18357.2023-06-14,01:08:52
2023-06-22 18:42:33 || 150.162.124.212 -> noctilucentis.com.br/80 || TCP - OPEN
2023-06-22 18:42:41 || 150.162.124.212 -> noctilucentis.com.br/2000 || TCP - CLOSE
2023-06-22 18:42:48 || 150.162.124.212 -> noctilucentis.com.br/4000 || TCP - CLOSE
2023-06-22 18:42:51 || 150.162.124.212 -> gersoncamillo.seg.br/2000 || UDP - CLOSE FILTERED
2023-06-22 18:42:53 || 150.162.124.212 -> gersoncamillo.seg.br/23456 || UDP - CLOSE FILTERED
2023-06-22 18:42:55 || 150.162.124.212 -> gersoncamillo.seg.br/34567 || UDP - CLOSE FILTERED
2023-06-22 18:44:24 || 150.162.124.212 -> noctilucentis.com.br/80 || TCP - OPEN
2023-06-22 18:44:32 || 150.162.124.212 -> noctilucentis.com.br/2000 || TCP - CLOSE
2023-06-22 18:44:38 || 150.162.124.212 -> noctilucentis.com.br/4000 || TCP - CLOSE
2023-06-22 18:44:40 || 150.162.124.212 -> gersoncamillo.seg.br/2000 || UDP - CLOSE FILTERED
2023-06-22 18:44:42 || 150.162.124.212 -> gersoncamillo.seg.br/23456 || UDP - CLOSE FILTERED
2023-06-22 18:44:44 || 150.162.124.212 -> gersoncamillo.seg.br/34567 || UDP - CLOSE FILTERED
2023-06-22 18:45:36 || 150.162.124.212 -> noctilucentis.com.br/80 || TCP - OPEN
2023-06-22 18:45:43 || 150.162.124.212 -> noctilucentis.com.br/2000 || TCP - CLOSE
2023-06-22 18:45:50 || 150.162.124.212 -> noctilucentis.com.br/4000 || TCP - CLOSE
2023-06-22 18:45:53 || 150.162.124.212 -> gersoncamillo.seg.br/2000 || UDP - CLOSE FILTERED
2023-06-22 18:45:55 || 150.162.124.212 -> gersoncamillo.seg.br/23456 || UDP - CLOSE FILTERED
2023-06-22 18:45:57 || 150.162.124.212 -> gersoncamillo.seg.br/34567 || UDP - CLOSE FILTERED
2023-06-23 10:25:37 || 201.76.2.3 -> gersoncamillo.seg.br/34567 || UDP - CLOSE FILTERED
2023-07-01 09:17:54 || 201.76.2.102 -> gersoncamillo.seg.br/34567 || UDP - CLOSE FILTERED
2023-07-01 09:20:25 || 201.76.2.102 -> gersoncamillo.seg.br/34567 || UDP - CLOSE FILTERED
2023-07-01 09:21:17 || 201.76.2.102 -> gersoncamillo.seg.br/34567 || UDP - CLOSE FILTERED
2023-07-01 09:22:20 || 201.76.2.102 -> gersoncamillo.seg.br/34567 || UDP - CLOSE FILTERED
2023-07-01 09:22:28 || 201.76.2.102 -> gersoncamillo.seg.br/34567 || UDP - CLOSE FILTERED
2023-07-01 09:23:02 || 201.76.2.102 -> gersoncamillo.seg.br/34567 || UDP - CLOSE FILTERED
2023-07-01 10:05:13 || 179.124.197.121 -> noctilucentis.com.br/80 || TCP - OPEN
2023-07-01 10:05:40 || 179.124.197.121 -> noctilucentis.com.br/2000 || TCP - CLOSE
2023-07-01 10:05:48 || 179.124.197.121 -> noctilucentis.com.br/4000 || TCP - CLOSE
2023-07-01 10:05:49 || 179.124.197.121 -> gersoncamillo.seg.br/2000 || UDP - CLOSE FILTERED
2023-07-01 10:05:50 || 179.124.197.121 -> gersoncamillo.seg.br/23456 || UDP - CLOSE FILTERED
2023-07-01 10:05:53 || 179.124.197.121 -> gersoncamillo.seg.br/34567 || UDP - CLOSE FILTERED
